name, lat, lon
"Kaldi Coffee", 34.117174, -118.2622256
"The Coffee Company", 33.957594, -118.394536
"Capital One Café", 34.047506, -118.445968
"Alfred Coffee Melrose Place Los Angeles", 34.0833724, -118.3743114
"Intelligentsia Coffee Silver Lake Coffeebar", 34.0920588, -118.2803213
"Coffee Commissary", 34.0860314, -118.361721
"Blue Bottle Coffee", 34.0390863, -118.2325317
"101 Coffee Shop", 34.10536, -118.323838
"Dinosaur Coffee", 34.0952805, -118.2837864
"Blue Bottle Coffee", 34.07627170000001, -118.3702102
"Urth Caffé", 34.04197, -118.235422
"Blu Jam Cafe", 34.0837755, -118.3505462
"Urth Caffé - Melrose", 34.082145, -118.378931
"Blue Bottle Coffee", 34.0772369, -118.2589942
"Paramount Coffee Project", 34.079782, -118.361236
"LAMILL COFFEE Boutique", 34.0888336, -118.2686625
"Verve Coffee - DTLA", 34.04236259999999, -118.2545318
"Coral Tree Cafe", 34.0542174, -118.4637885
"Stumptown Coffee Roasters", 34.0332368, -118.229728
"Groundwork Coffee Co.", 34.0981674, -118.3297713
"Coffee Commissary", 34.098346, -118.321765
"Nick's Cafe", 34.06603499999999, -118.233146
"L.A. Cafe", 34.04507399999999, -118.2519802
"Go Get Em Tiger", 34.0755676, -118.3234831
"Alfred Coffee In The Alley", 34.082046, -118.37707
"Found Coffee", 34.13986089999999, -118.1946902
"Verve Coffee", 34.07239320000001, -118.3650281
"Tierra Mia Coffee", 34.07825, -118.262891
"Marmalade Cafe", 34.0724426, -118.359356
"Vees Cafe", 34.0323431, -118.3612356
"Habitat Coffee", 34.1176538, -118.2333874
"Cafe Gratitude", 34.0828183, -118.3241586
"Zapotec Cafe", 34.0345706, -118.2165996
"Spring For Coffee", 34.0461596, -118.2505455
"Demitasse Coffee", 34.0640826, -118.3674877
"Homegirl Café", 34.06246619999999, -118.2358018
"Verve Coffee", 34.0809445, -118.3874226
"Black Dog Coffee", 34.062632, -118.351893
"Tierra Mia Coffee", 34.11075439999999, -118.1962482
"Cafe De Leche", 34.121343, -118.206828
"LAX Klatch Coffee", 33.9421937, -118.399841
"The Crêpe Café", 34.1361713, -118.3547494
"Vees Cafe", 34.06198699999999, -118.345584
"La Colombe Coffee Roasters", 34.0595421, -118.4186732
"Crumbs & Whiskers", 34.0835807, -118.3623325
"Alcove", 34.1062307, -118.2877583
"Caffe Vita", 34.098037, -118.2864829
"Specialty's Cafe & Bakery", 34.0514068, -118.2530075
"Pitchoun Bakery & Café", 34.0485154, -118.2540584
"Document Coffee Bar", 34.0614735, -118.3109858
"H Coffee House", 34.1029285, -118.2872096
"Cafe Tropical", 34.0828059, -118.2735566
"Specialty's Cafe & Bakery", 34.05519390000001, -118.413266
"Tiago Coffee Bar + Kitchen", 34.1013337, -118.3443994
"Blue Bottle Coffee", 34.050786, -118.247916
"M Cafe", 34.0836213, -118.3449417
"Beachwood Cafe", 34.11989010000001, -118.3213137
"Chimney Coffee House", 34.0635269, -118.2328358
"Koala T Café", 34.0623974, -118.4475638
"Impresso Cafe", 34.04210019999999, -118.2637022
